Chromosome,Leftmost_Marker,Rightmost_Marker,Trait,Treatment,Method,Expt_Type,Length
1,296009298,297914016,KRN,sparse,diff,DN,0
1,272841586,273787225,STAM,sparse,diff,DN,0
3,146363360,159384472,TILN,dense,raw,DN,0
4,179651222,186043964,BARE,dense,e-qtl,DN,0
4,180269180,181963563,GLUM,sparse,diff,DN,0
5,4039288,4589478,KRN,dense,raw,DN,0
5,61524554,145140374,TILN,sparse,e-qtl,DN,0
7,105647686,190373280,EB,sparse,diff,DN,0
7,23960754,185727485,KRN,dense,raw,DN,0
8,162963457,166747031,KRN,sparse,diff,DN,0
10,82837834,103213394,TILN,dense,raw,DN,0